"","intercept","beta_1","rss","rank"
"12191",20,-7.5,1542735.5318269,12190
"12192",20.5,-7.5,1539437.8923134,12177
"12193",21,-7.5,1536145.2527999,12164
"12194",21.5,-7.5,1532857.6132864,12152
"12195",22,-7.5,1529574.9737729,12140
"12196",22.5,-7.5,1526297.3342594,12127
"12197",23,-7.5,1523024.6947459,12114
"12198",23.5,-7.5,1519757.0552324,12101
"12199",24,-7.5,1516494.4157189,12088
"12200",24.5,-7.5,1513236.7762054,12076
"12201",25,-7.5,1509984.1366919,12064
"12202",25.5,-7.5,1506736.4971784,12051
"12203",26,-7.5,1503493.85766489,12038
"12204",26.5,-7.5,1500256.21815139,12026
"12205",27,-7.5,1497023.57863789,12014
"12206",27.5,-7.5,1493795.93912439,12001
"12207",28,-7.5,1490573.29961089,11989
"12208",28.5,-7.5,1487355.66009739,11977
"12209",29,-7.5,1484143.02058389,11964
"12210",29.5,-7.5,1480935.38107039,11951
"12211",30,-7.5,1477732.74155689,11938
"12212",30.5,-7.5,1474535.10204339,11925
"12213",31,-7.5,1471342.46252989,11913
"12214",31.5,-7.5,1468154.82301639,11901
"12215",32,-7.5,1464972.18350288,11887
"12216",32.5,-7.5,1461794.54398938,11874
"12217",33,-7.5,1458621.90447588,11861
"12218",33.5,-7.5,1455454.26496238,11848
"12219",34,-7.5,1452291.62544888,11836
"12220",34.5,-7.5,1449133.98593538,11826
"12221",35,-7.5,1445981.34642188,11814
"12222",35.5,-7.5,1442833.70690838,11801
"12223",36,-7.5,1439691.06739488,11788
"12224",36.5,-7.5,1436553.42788138,11775
"12225",37,-7.5,1433420.78836788,11762
"12226",37.5,-7.5,1430293.14885438,11750
"12227",38,-7.5,1427170.50934088,11738
"12228",38.5,-7.5,1424052.86982737,11726
"12229",39,-7.5,1420940.23031387,11713
"12230",39.5,-7.5,1417832.59080037,11700
"12231",40,-7.5,1414729.95128687,11687
"12232",0,-7.55,1700874.84611594,12782
"12233",0.5,-7.55,1697354.55291958,12769
"12234",1,-7.55,1693839.25972322,12754
"12235",1.5,-7.55,1690328.96652687,12741
"12236",2,-7.55,1686823.67333051,12728
"12237",2.5,-7.55,1683323.38013415,12715
"12238",3,-7.55,1679828.0869378,12703
"12239",3.5,-7.55,1676337.79374144,12690
"12240",4,-7.55,1672852.50054508,12677
"12241",4.5,-7.55,1669372.20734873,12664
"12242",5,-7.55,1665896.91415237,12651
"12243",5.5,-7.55,1662426.62095601,12639
"12244",6,-7.55,1658961.32775966,12627
"12245",6.5,-7.55,1655501.0345633,12614
"12246",7,-7.55,1652045.74136694,12601
"12247",7.5,-7.55,1648595.44817059,12588
"12248",8,-7.55,1645150.15497423,12575
"12249",8.5,-7.55,1641709.86177787,12563
"12250",9,-7.55,1638274.56858152,12551
"12251",9.5,-7.55,1634844.27538516,12538
"12252",10,-7.55,1631418.9821888,12525
"12253",10.5,-7.55,1627998.68899245,12511
"12254",11,-7.55,1624583.39579609,12499
"12255",11.5,-7.55,1621173.10259973,12486
"12256",12,-7.55,1617767.80940338,12474
"12257",12.5,-7.55,1614367.51620702,12461
"12258",13,-7.55,1610972.22301066,12448
"12259",13.5,-7.55,1607581.92981431,12435
"12260",14,-7.55,1604196.63661795,12422
"12261",14.5,-7.55,1600816.34342159,12409
"12262",15,-7.55,1597441.05022524,12397
"12263",15.5,-7.55,1594070.75702888,12385
"12264",16,-7.55,1590705.46383252,12372
"12265",16.5,-7.55,1587345.17063617,12359
"12266",17,-7.55,1583989.87743981,12346
"12267",17.5,-7.55,1580639.58424345,12333
"12268",18,-7.55,1577294.2910471,12321
"12269",18.5,-7.55,1573953.99785074,12309
"12270",19,-7.55,1570618.70465438,12297
"12271",19.5,-7.55,1567288.41145803,12284
"12272",20,-7.55,1563963.11826167,12271
"12273",20.5,-7.55,1560642.82506531,12258
"12274",21,-7.55,1557327.53186896,12245
"12275",21.5,-7.55,1554017.2386726,12233
"12276",22,-7.55,1550711.94547624,12221
"12277",22.5,-7.55,1547411.65227989,12208
"12278",23,-7.55,1544116.35908353,12195
"12279",23.5,-7.55,1540826.06588717,12182
"12280",24,-7.55,1537540.77269082,12169
"12281",24.5,-7.55,1534260.47949446,12157
"12282",25,-7.55,1530985.1862981,12145
